UtilizationInterface [ipType=ipv4, ipAddress=62.40.125.141, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=out, description=Link (L) to BREN, startTime=1397080843955, endTime=1397098903955, name=ge-0/0/1.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=194.149.130.110, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=in, description=Link (L) to MARNet, startTime=1397080843955, endTime=1397098903955, name=ge-3/1/0.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=156000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=194.149.130.110, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=out, description=Link (L) to MARNet, startTime=1397080843955, endTime=1397098903955, name=ge-3/1/0.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=156000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=800000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=pfe-0/0/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=800000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=pfe-0/0/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=800000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=pc-2/2/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=800000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=pc-2/2/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=800000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=pc-2/2/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=800000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=pc-2/2/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=45000000, capacityValueUnits=null, direction=in, description=spare - earlier used for AzRENA, startTime=1397080843955, endTime=1397098903955, name=t3-3/0/0:2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=10000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=45000000, capacityValueUnits=null, direction=out, description=spare - earlier used for AzRENA, startTime=1397080843955, endTime=1397098903955, name=t3-3/0/0:2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=10000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=62.40.112.201, hostname=62.40.114.11, capacity=9953000000, capacityValueUnits=null, direction=in, description=Link (AggEther) to HU-GN2, startTime=1397080843955, endTime=1397098903955, name=ae5, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=19906000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=62.40.112.201, hostname=62.40.114.11, capacity=9953000000, capacityValueUnits=null, direction=out, description=Link (AggEther) to HU-GN2, startTime=1397080843955, endTime=1397098903955, name=ae5, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=19906000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=0, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=as1, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.11, capacity=0, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=as1, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=194.149.130.106, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=in, description=Protection link(L) to MARNet, startTime=1397080843955, endTime=1397098903955, name=ge-0/0/0.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=194.149.130.106, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=out, description=Protection link(L) to MARNet, startTime=1397080843955, endTime=1397098903955, name=ge-0/0/0.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=62.40.112.201, hostname=62.40.114.11, capacity=9953000000, capacityValueUnits=null, direction=in, description=Link (L) to HU-GN2, startTime=1397080843955, endTime=1397098903955, name=ae5.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=19906000000, dataSourceType=COUNTER]
